Date,Open,High,Low,Close,Volume,UpAndDown
107/10/17,11.9,11.95,11.7,11.7,"1,435",-0.05
107/10/18,11.75,12.4,11.75,12.15,"4,267",0.45
107/10/19,12.1,12.35,11.9,12.35,"2,427",0.2
107/10/22,12.15,12.35,12,12.2,"2,012",-0.15
107/10/23,12.15,12.2,11.85,11.85,"2,266",-0.35
107/10/24,11.85,12.05,11.65,11.85,"2,573",0
107/10/25,11.5,11.6,11.35,11.4,"3,576",-0.45
107/10/26,11.55,11.65,11.3,11.3,"2,169",-0.1
107/10/29,11.3,11.35,11.1,11.15,"2,335",-0.15
107/10/30,11.2,11.35,11.15,11.35,"1,290",0.2
107/10/31,11.35,11.55,11.3,11.4,"2,420",0.05
107/11/01,11.3,11.4,11.2,11.25,"1,895",-0.15
107/11/02,11.3,11.4,11.25,11.35,"1,366",0.1
107/11/05,11.35,11.5,11.3,11.4,"1,542",0.05
107/11/06,11.4,11.4,11.25,11.3,"1,431",-0.1
107/11/07,11.35,11.4,11.25,11.3,"1,559",0
107/11/08,11.4,11.45,11.3,11.4,"1,508",0.1
107/11/09,11.4,11.4,11.25,11.25,"1,352",-0.15
107/11/12,11.35,11.5,11.3,11.35,"1,231",0.1
107/11/13,11.3,11.5,11.2,11.4,"1,884",0.05
107/11/14,11.5,11.7,11.35,11.7,"2,783",0.3
107/11/15,11.7,11.8,11.65,11.7,"3,295",0
107/11/16,11.75,11.75,11.55,11.7,"2,062",0
107/11/19,11.7,11.7,11.6,11.7,"1,529",0
107/11/20,11.65,11.7,11.55,11.65,"1,963",-0.05
107/11/21,11.6,11.85,11.5,11.7,"4,618",0.05
107/11/22,11.75,11.8,11.55,11.6,"2,319",-0.1
107/11/23,11.55,11.6,11.45,11.45,"2,032",-0.15
107/11/26,11.5,11.8,11.5,11.65,"2,396",0.2
107/11/27,11.6,11.75,11.45,11.75,"3,071",0.1
107/11/28,11.65,12.25,11.65,12.15,"6,426",0.4
107/11/29,12.25,12.35,11.95,12,"4,313",-0.15
107/11/30,11.9,11.9,11.65,11.65,"10,707",-0.35
107/12/03,11.85,12.1,11.85,11.95,"7,403",0.3
107/12/04,12,12.3,11.95,12.25,"6,626",0.3
107/12/05,12,12.3,12,12.2,"4,091",-0.05
107/12/06,12.2,12.2,11.8,11.9,"4,026",-0.3
107/12/07,11.95,12.1,11.95,12,"1,586",0.1
107/12/10,12,12.05,11.75,11.8,"2,174",-0.2
107/12/11,11.95,12.15,11.95,12.05,"2,524",0.25
107/12/12,12.1,12.15,12,12.15,"2,023",0.1
107/12/13,12.15,12.65,12.1,12.5,"6,342",0.35
107/12/14,12.45,12.5,12.2,12.5,"3,595",0
107/12/17,12.45,12.9,12.45,12.85,"8,315",0.35
107/12/18,12.7,12.8,12.5,12.5,"3,895",-0.35
107/12/19,12.6,12.7,12.4,12.55,"3,429",0.05
107/12/20,12.5,12.6,12.2,12.3,"3,085",-0.25
107/12/21,12.2,12.3,11.95,12.05,"4,286",-0.25
107/12/22,12,12.1,11.95,12.05,"1,241",0
107/12/24,12.05,12.2,12.05,12.15,"1,102",0.1
107/12/25,11.95,12,11.75,11.85,"3,516",-0.3
107/12/26,11.9,12,11.8,11.8,"1,110",-0.05
107/12/27,12,12.1,11.9,12,"2,008",0.2
107/12/28,12.05,12.1,11.85,11.9,"1,647",-0.1
108/01/02,12.05,12.05,11.85,11.9,"1,474",0
108/01/03,11.9,12,11.8,11.85,"1,513",-0.05
108/01/04,11.8,11.8,11.4,11.6,"3,365",-0.25
108/01/07,11.8,11.95,11.7,11.95,"2,848",0.35
108/01/08,11.95,12,11.85,11.85,"1,300",-0.1
108/01/09,11.95,12.1,11.95,12.05,"2,809",0.2
108/01/10,12.05,12.05,11.9,12,"1,094",-0.05
108/01/11,12.15,12.2,11.9,11.95,"1,610",-0.05
108/01/14,11.95,12,11.75,11.75,"1,745",-0.2
108/01/15,11.85,12.1,11.8,12.1,"1,974",0.35
108/01/16,12.1,12.1,11.95,12,"1,659",-0.1
108/01/17,12,12.05,11.9,12,978,0
108/01/18,12.05,12.15,12,12.05,997,0.05
108/01/21,12.15,12.15,12.05,12.05,"1,139",0
108/01/22,12.05,12.1,12,12.1,"1,110",0.05
108/01/23,12.05,12.05,11.9,11.9,"1,151",-0.2
108/01/24,12,12.05,11.95,12,917,0.1
108/01/25,12,12.1,12,12.05,"1,251",0.05
108/01/28,12.05,12.1,12,12.05,"1,192",0
108/01/29,12,12.1,12,12.05,"1,333",0
108/01/30,12.05,12.1,11.95,11.95,"1,812",-0.1
108/02/11,11.95,12.05,11.9,11.95,"2,305",0
108/02/12,11.95,12,11.85,11.9,"2,513",-0.05
108/02/13,11.95,12,11.8,11.85,"2,099",-0.05
108/02/14,11.85,12,11.8,11.9,"2,477",0.05
108/02/15,11.95,12,11.85,11.85,"2,854",-0.05
108/02/18,11.9,11.95,11.85,11.85,"1,860",0
108/02/19,11.9,12,11.9,11.9,"1,628",0.05
108/02/20,11.95,12,11.9,12,"1,717",0.1
108/02/21,12,12.3,12,12.25,"3,628",0.25
108/02/22,12.2,12.25,12.1,12.15,"2,429",-0.1
108/02/25,12.15,12.35,12.15,12.25,"4,019",0.1
108/02/26,12.3,12.6,12.3,12.5,"3,890",0.25
108/02/27,12.55,12.65,12.4,12.45,"4,511",-0.05
108/03/04,12.45,12.55,12.35,12.4,"2,394",-0.05
108/03/05,12.35,12.4,12.15,12.2,"2,147",-0.2
108/03/06,12.2,12.3,12.2,12.25,"1,386",0.05
108/03/07,12.2,12.3,12.1,12.15,"1,100",-0.1
108/03/08,12.15,12.25,12.1,12.15,"1,545",0
108/03/11,12.25,12.3,12.15,12.2,"1,500",0.05
108/03/12,12.3,12.35,12.25,12.3,"1,251",0.1
108/03/13,12.3,12.3,12.15,12.2,"1,073",-0.1
108/03/14,12.2,12.25,12.05,12.05,"1,783",-0.15
108/03/15,12.1,12.2,12.05,12.2,"1,513",0.15
108/03/18,12.2,12.2,12.1,12.15,"1,330",-0.05
108/03/19,12.15,12.2,12.1,12.15,"1,336",0
108/03/20,12.15,12.25,12.1,12.15,"1,653",0
108/03/21,12.15,12.2,12.15,12.15,"1,233",0
108/03/22,12.15,12.25,12.15,12.25,"1,414",0.1
108/03/25,12.1,12.1,11.9,11.9,"2,950",-0.35
108/03/26,12,12,11.75,11.85,"3,713",-0.05
108/03/27,11.85,11.85,11.65,11.7,"2,655",-0.15
108/03/28,11.7,11.8,11.6,11.7,"2,203",0
108/03/29,11.75,11.95,11.7,11.95,"3,144",0.25
108/04/01,11.95,12,11.8,11.85,"2,359",-0.1
108/04/02,11.9,11.95,11.85,11.9,"1,644",0.05
108/04/03,12,12,11.9,12,"2,012",0.1
108/04/08,12,12.1,12,12.05,"2,095",0.05
108/04/09,12.05,12.05,12,12.05,"1,268",0
108/04/10,12,12.05,12,12.05,"1,628",0
108/04/11,12.05,12.3,12.05,12.2,"2,253",0.15
108/04/12,12.2,12.25,12.15,12.2,"2,306",0
108/04/15,12.3,12.7,12.25,12.6,"6,222",0.4
108/04/16,12.7,12.8,12.6,12.65,"6,924",0.05
108/04/17,12.7,12.75,12.6,12.7,"5,348",0.05
108/04/18,12.7,12.8,12.45,12.6,"4,755",-0.1
108/04/19,12.7,13,12.65,12.95,"6,347",0.35
108/04/22,13.1,13.6,13.05,13.3,"7,977",0.35
108/04/23,13.3,13.45,13.05,13.45,"4,668",0.15
